# Hs,H10,Hmax,Tmed,THmax,Hm0,Tp,Dp
1.26,1.59,1.84,8.70,11.00,1.37,8.33,199.87
1.42,1.76,2.15,8.83,10.00,1.56,8.70,202.55
1.26,1.55,1.98,9.12,11.00,1.39,8.00,198.06
1.44,1.76,2.35,9.62,10.00,1.56,8.33,204.85
1.29,1.53,2.02,9.59,11.00,1.38,8.33,204.34
1.36,1.62,2.06,9.70,11.00,1.49,8.00,208.36
1.38,1.76,2.41,9.24,12.00,1.49,8.00,218.46
1.47,1.84,2.34,9.56,11.00,1.56,8.00,202.83
1.47,1.78,2.31,9.84,10.00,1.61,8.00,181.40
1.50,1.90,2.45,9.34,11.00,1.60,9.52,206.97
1.49,1.83,2.50,9.16,11.00,1.62,8.70,214.25
1.69,2.10,2.58,8.75,13.00,1.87,8.33,197.13
1.58,1.97,2.33,8.02,13.00,1.77,9.09,202.27
1.97,2.40,2.99,8.65,11.00,1.95,9.52,193.95
1.74,2.17,3.00,7.88,14.00,1.90,9.52,194.96
1.64,2.05,2.69,8.35,12.00,1.73,8.70,189.60
1.59,1.98,2.56,8.10,11.00,1.67,8.33,175.53
1.54,1.94,2.55,7.96,14.00,1.67,8.33,191.20
1.45,1.87,2.46,7.82,13.00,1.65,8.00,184.91
1.51,1.85,2.42,8.41,13.00,1.64,8.70,170.17
1.37,1.74,2.37,8.39,15.00,1.47,10.00,195.12
1.35,1.63,2.24,7.74,12.00,1.47,7.69,174.03
1.26,1.51,1.72,6.71,8.00,1.42,8.70,174.40
1.17,1.49,1.98,6.89,11.00,1.32,10.00,179.81
1.14,1.38,1.74,6.66,11.00,1.28,10.53,168.26
1.17,1.45,1.70,6.36,9.00,1.29,3.28,318.51
1.45,1.83,2.53,6.67,7.00,1.60,4.65,273.84
1.59,1.92,2.45,6.81,8.00,1.75,4.76,279.98
1.78,2.23,2.95,7.39,8.00,1.94,5.88,270.25
2.19,2.68,3.21,7.88,9.00,2.26,6.67,271.87
2.34,2.99,4.26,7.90,9.00,2.55,7.14,255.70
2.90,3.75,4.42,8.81,11.00,3.14,7.41,255.13
2.62,3.37,4.62,8.36,10.00,2.82,7.41,256.25
2.47,3.11,4.38,8.07,10.00,2.63,7.14,256.77
2.44,2.96,3.79,8.66,8.00,2.60,7.14,258.25
2.66,3.28,4.28,8.93,10.00,2.84,8.00,239.86
2.93,3.65,4.26,9.59,12.00,3.20,8.70,242.45
3.04,3.67,4.78,9.58,11.00,3.30,10.53,210.16
3.09,3.79,4.52,9.70,11.00,3.27,10.53,215.07
3.08,3.79,4.34,9.82,11.00,3.29,8.70,221.05
2.91,3.62,4.51,9.07,11.00,3.03,7.69,218.69
3.08,3.72,4.47,9.67,10.00,3.42,10.00,207.59
3.12,3.85,4.80,9.14,11.00,3.29,7.69,236.35
2.89,3.45,4.01,9.17,10.00,3.15,8.00,230.58
3.00,3.72,4.39,9.19,10.00,3.19,7.14,253.04
3.47,4.17,4.88,9.37,11.00,3.77,7.69,258.59
3.81,4.85,6.54,9.30,11.00,4.13,8.33,251.81
4.22,5.31,6.80,9.93,10.00,4.38,8.00,255.15
3.58,4.57,5.63,9.44,11.00,3.87,8.33,254.81
3.80,4.73,7.46,9.70,11.00,4.20,8.00,256.92
3.87,4.99,6.72,9.39,13.00,4.05,7.69,244.55
3.95,4.96,5.89,9.86,12.00,4.22,8.33,214.56
3.82,4.65,6.04,9.54,12.00,4.17,8.33,227.53
3.77,4.53,5.56,10.64,12.00,3.94,9.09,203.59
3.53,4.32,6.50,10.18,12.00,3.84,9.09,197.00
3.49,4.10,5.40,10.26,14.00,3.83,10.00,183.22
3.47,4.30,6.00,9.52,14.00,3.86,10.53,199.01
4.00,5.03,6.24,10.61,14.00,4.04,10.53,186.78
3.78,4.60,5.55,10.50,11.00,4.06,11.11,183.42
3.04,3.69,5.10,9.61,12.00,3.29,10.53,190.61
3.47,4.25,5.73,10.80,13.00,3.84,11.11,185.26
3.69,4.69,5.58,10.38,11.00,4.05,10.53,185.21
3.76,4.74,5.72,10.58,12.00,4.13,10.53,167.57
3.60,4.83,7.24,10.24,13.00,4.05,11.11,178.49
3.78,4.57,5.51,10.76,13.00,3.94,10.53,183.50
3.51,4.56,5.58,9.89,11.00,3.54,9.52,189.22
3.69,4.47,5.20,10.72,12.00,3.88,11.76,167.03
3.86,4.64,5.89,10.22,12.00,4.22,11.11,176.03
3.47,4.44,5.74,9.48,10.00,3.64,11.11,191.46
3.59,4.52,5.32,10.02,13.00,3.80,8.33,193.48
3.49,4.29,5.56,9.93,12.00,3.67,9.52,172.77
3.16,3.83,4.81,9.89,13.00,3.30,9.52,176.43
3.18,3.91,5.49,9.82,12.00,3.29,8.33,188.82
2.90,3.74,5.15,9.29,13.00,3.07,10.53,173.49
2.66,3.38,4.56,9.51,13.00,3.03,10.53,173.34
2.75,3.37,4.50,9.90,13.00,3.06,10.00,162.69
2.70,3.43,4.33,9.54,9.00,2.88,10.00,163.05
2.78,3.37,4.47,9.73,13.00,3.01,10.53,171.62
2.43,3.01,3.82,10.02,11.00,2.60,11.11,169.36
2.85,3.58,4.50,10.33,12.00,2.83,10.53,172.66
2.59,3.11,4.12,10.34,13.00,2.89,9.09,170.22
2.35,2.71,3.19,10.46,11.00,2.55,9.09,152.03
2.64,3.36,4.59,9.88,15.00,2.92,10.53,168.45
2.51,3.03,3.78,10.92,10.00,2.65,10.53,179.44
2.49,3.13,4.13,10.12,14.00,2.55,10.53,162.10
2.24,2.67,3.62,9.96,12.00,2.43,11.11,169.00
2.32,2.86,3.31,10.44,14.00,2.49,11.76,169.32
2.27,2.74,3.97,10.10,15.00,2.42,11.11,167.96
2.10,2.62,3.75,9.77,13.00,2.37,10.53,163.38
2.20,2.66,3.47,10.69,12.00,2.37,10.53,171.96
2.25,2.74,3.52,10.31,14.00,2.37,11.11,173.55
2.09,2.69,3.76,10.13,12.00,2.22,11.11,183.42
2.17,2.79,3.48,10.60,12.00,2.33,11.11,178.79
1.96,2.55,3.22,10.45,12.00,2.09,11.76,172.17
2.02,2.57,3.17,10.85,15.00,2.12,11.11,172.36
2.11,2.66,3.68,11.49,14.00,2.23,10.00,185.25
2.39,2.90,3.75,12.16,14.00,2.50,11.11,171.70
2.12,2.62,3.06,11.12,13.00,2.23,10.00,176.58
